SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,BASTIONES PRI,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,
6437,2,175,115,13,15,15,7,9,187,FALSO,10,12,3,0,0,0,3,0,0,0,564,0,13,577,751,20%
6438,1,97,90,14,27,11,6,8,130,FALSO,10,11,1,1,0,0,8,0,0,0,414,0,12,426,596,21%
6439,2,326,116,25,16,28,16,15,418,FALSO,22,30,3,0,1,1,8,0,0,1,1026,1,28,1055,1485,11%
6440,1,67,81,17,9,9,6,4,91,FALSO,1,10,4,4,0,0,4,1,0,1,309,0,16,325,430,25%
6441,2,185,104,17,12,11,12,6,218,FALSO,11,23,1,1,0,0,2,2,0,0,605,0,10,615,810,17%
6442,2,269,86,16,21,17,12,10,302,FALSO,10,19,4,3,2,0,5,0,0,1,777,0,15,792,1020,11%
6443,1,71,136,17,17,7,7,3,107,#¡CALC!,4,7,0,3,0,0,10,1,0,1,391,0,17,408,560,33%
6444,1,129,58,12,13,6,4,1,159,FALSO,8,12,3,0,0,0,8,1,0,1,415,0,7,422,582,14%
6445,1,129,78,11,8,21,7,7,153,FALSO,15,15,2,1,0,0,6,0,0,1,454,0,7,461,600,17%
6446,1,108,64,17,5,9,5,12,150,FALSO,16,14,4,0,0,0,7,1,0,1,413,0,5,418,569,15%
6447,1,73,104,10,9,7,8,3,72,#¡CALC!,7,7,2,0,1,0,7,1,0,2,313,0,11,324,448,32%
6448,2,220,72,13,14,16,15,9,184,FALSO,8,12,1,1,2,0,3,0,0,0,570,0,10,580,760,12%
6449,1,118,65,11,6,6,4,5,134,FALSO,4,10,4,0,1,0,2,0,0,0,370,0,7,377,494,17%
6450,2,163,98,14,15,14,12,10,254,FALSO,19,27,4,0,0,0,5,3,0,2,640,3,10,653,844,15%
6451,1,101,58,7,13,7,7,4,131,FALSO,3,7,2,0,1,0,2,0,0,0,343,0,3,346,460,17%
6452,1,142,57,9,13,12,5,6,169,FALSO,8,21,1,1,0,0,2,2,1,3,452,0,10,462,591,12%
6453,1,87,112,19,22,13,11,2,83,#¡CALC!,7,6,0,0,0,0,4,1,0,0,367,0,0,367,528,31%
6454,1,95,56,14,16,15,8,6,135,FALSO,6,12,6,0,0,0,2,0,0,0,371,1,4,376,517,15%
6455,2,167,115,12,11,25,12,11,228,FALSO,14,16,1,1,0,0,4,1,0,1,619,0,11,630,872,18%
6456,2,192,90,23,25,15,14,11,273,FALSO,11,12,6,1,0,0,7,1,0,0,681,0,14,695,891,13%
6457,1,110,70,14,11,7,11,7,115,FALSO,9,12,1,0,0,0,3,1,0,0,371,0,13,384,512,18%
6458,1,121,65,12,18,13,9,7,143,FALSO,6,17,4,0,0,1,1,2,0,1,420,2,7,429,552,15%
6459,2,150,105,20,17,10,11,9,202,FALSO,15,17,5,0,0,0,1,2,0,1,565,0,15,580,796,18%
6460,2,129,83,12,19,17,14,6,270,FALSO,19,21,3,0,0,0,5,0,0,3,601,1,12,614,895,14%
6461,1,120,108,5,15,12,7,3,159,FALSO,8,13,1,0,1,0,2,1,0,0,455,0,14,469,630,23%
6462,1,138,91,8,23,8,4,8,199,FALSO,11,26,4,0,0,0,4,0,1,0,525,0,6,531,714,17%
6516,2,93,105,24,18,16,14,7,227,FALSO,18,18,3,0,1,0,13,3,0,0,560,1,15,576,935,18%
,,TOTAL,"89,663",,,,,,"148,924",,,,,,,,,,,,,,,"457,600","641,016",
,,% DEL VOTO,19.59%,,,,,,32.54%,,,,,,,,,,,,,,,,,
,,% LISTA NOMINAL,13.99%,,,,,,23.23%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total de bastiones,,,,,,,,,,,,,,,,,,,,,,,,,
