SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,BASTIONES PRI,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,
5290,2,267,199,31,43,25,29,21,374,FALSO,25,18,4,1,1,0,6,1,1,1,1047,1,31,1079,1409,18%
5291,5,520,349,62,73,51,44,29,772,FALSO,49,82,20,3,1,2,26,5,0,9,2097,1,49,2147,3004,16%
5292,5,604,381,93,89,49,40,44,892,FALSO,38,84,13,4,3,0,20,7,2,6,2369,7,40,2416,3227,16%
5293,3,388,324,47,49,34,31,22,574,FALSO,28,51,4,4,0,0,14,6,0,3,1579,0,27,1606,2204,20%
5294,3,376,267,34,50,25,27,22,437,FALSO,28,39,4,1,2,4,7,1,1,0,1325,0,38,1363,1861,20%
5295,7,970,535,135,120,71,64,45,1054,FALSO,55,86,15,5,2,3,24,9,1,7,3201,8,87,3296,4903,16%
5296,9,1156,782,199,148,106,76,87,1550,FALSO,78,183,26,5,4,2,35,11,3,11,4462,8,105,4575,6384,17%
5297,6,830,439,105,93,71,50,38,897,FALSO,51,65,16,3,0,0,29,3,1,5,2696,1,75,2772,4114,16%
5298,8,734,646,108,132,90,83,103,1264,FALSO,78,97,25,5,1,0,31,5,1,4,3407,2,107,3516,5408,18%
5299,2,266,141,51,18,19,17,16,312,FALSO,18,47,3,2,3,1,10,2,0,1,927,0,20,947,1162,15%
5300,3,324,176,51,51,35,22,21,381,FALSO,24,31,5,4,1,0,10,0,0,4,1140,0,32,1172,1626,15%
5301,2,271,162,32,36,29,22,16,384,FALSO,34,35,5,2,0,0,8,0,2,1,1039,0,29,1068,1470,15%
5302,2,346,235,41,47,18,28,14,367,FALSO,22,39,3,3,1,0,9,3,0,0,1176,5,28,1209,1414,19%
5303,10,1317,915,139,143,119,93,73,1751,FALSO,100,161,22,10,1,0,41,14,1,7,4907,3,135,5045,7258,18%
5304,4,638,373,52,92,42,33,34,768,FALSO,36,66,8,2,2,0,8,4,1,5,2164,1,63,2228,2863,17%
5305,6,1006,444,89,152,68,45,30,1034,FALSO,39,120,10,5,1,0,15,3,0,3,3064,3,62,3129,3918,14%
5306,4,469,297,46,71,31,29,29,562,FALSO,33,76,11,2,0,0,7,1,0,4,1668,2,41,1711,2298,17%
5307,2,264,144,17,27,27,16,11,262,FALSO,13,33,6,2,2,0,10,1,0,0,835,1,14,850,1104,17%
5308,2,238,149,14,41,9,10,12,240,FALSO,28,26,2,1,0,1,8,1,0,0,780,0,12,792,1040,19%
5309,6,728,469,97,117,66,52,51,900,FALSO,60,88,16,4,2,1,13,3,0,4,2671,3,65,2739,3752,17%
5310,3,360,333,61,56,35,25,21,426,FALSO,28,65,4,1,2,0,7,2,2,3,1431,4,35,1470,2195,23%
5311,3,359,371,42,58,44,36,27,517,FALSO,30,46,9,2,1,0,12,4,3,3,1564,0,31,1595,2142,23%
5312,2,264,149,14,34,18,13,4,272,FALSO,15,50,5,1,1,0,5,1,0,2,848,0,14,862,1086,17%
5313,2,378,184,36,49,27,17,11,319,FALSO,23,28,6,0,1,0,4,0,0,0,1083,1,20,1104,1470,17%
5314,3,377,191,29,49,26,23,11,381,FALSO,25,42,5,1,4,0,15,1,0,0,1180,1,17,1198,1576,16%
5315,1,175,93,14,24,15,8,7,187,FALSO,9,17,3,1,0,0,4,0,0,1,558,0,10,568,709,16%
5316,4,376,298,59,58,44,15,23,557,FALSO,19,86,5,4,0,0,9,2,1,0,1556,0,37,1593,2254,19%
5317,7,733,557,100,106,73,69,55,1187,FALSO,75,128,16,4,4,0,33,6,3,8,3157,3,96,3256,4828,17%
5318,6,648,484,98,84,68,35,35,1019,FALSO,66,79,18,0,2,0,21,2,0,7,2666,0,60,2726,4104,18%
5319,4,363,298,60,61,42,40,35,565,FALSO,28,66,4,5,0,0,8,4,2,4,1585,1,51,1637,2292,18%
5320,4,502,282,72,70,41,36,28,614,FALSO,34,52,11,3,1,0,4,5,1,3,1759,0,34,1793,2398,16%
5321,2,295,201,34,32,35,20,19,380,FALSO,21,34,8,2,2,1,4,3,0,1,1092,2,29,1123,1471,18%
5322,3,341,221,54,37,34,24,18,420,FALSO,28,49,3,1,1,0,11,2,0,2,1246,1,27,1274,1686,17%
5323,6,784,514,104,119,95,71,40,970,FALSO,57,94,17,4,3,1,17,4,1,6,2901,0,87,2988,4265,17%
5324,4,337,279,55,46,39,36,36,593,FALSO,35,85,3,1,0,0,11,5,10,2,1573,0,44,1617,2262,17%
5325,3,345,235,58,47,31,38,21,473,FALSO,43,42,5,6,0,0,8,0,1,3,1356,2,48,1406,1881,17%
5326,4,452,368,63,80,52,37,31,577,FALSO,33,55,11,3,4,0,19,1,0,3,1789,2,46,1837,2480,20%
5327,3,258,208,47,45,36,24,18,407,FALSO,27,42,6,1,1,0,10,5,0,3,1138,0,13,1151,1574,18%
5328,2,250,139,46,21,16,11,7,226,FALSO,17,34,11,0,1,0,4,3,0,3,789,0,15,804,1022,17%
5329,4,536,315,58,76,45,27,20,605,FALSO,39,46,10,3,0,1,16,7,1,4,1809,3,50,1862,2474,17%
5330,6,819,496,148,122,101,49,34,1000,FALSO,72,66,16,1,1,1,23,5,1,10,2965,3,79,3047,4337,16%
5331,2,260,186,41,34,38,23,6,293,FALSO,49,25,4,0,0,1,10,3,0,5,978,0,21,999,1349,19%
5332,2,266,147,39,22,27,9,10,298,FALSO,27,17,5,2,1,0,16,0,0,5,891,0,31,922,1289,16%
