SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,% PARTICIPACIÓN,% PRI
5288,3,3,217,309,12,21,23,109,337,FALSO,12,1,17,1,0,0,5,0,0,0,1,0,18,0,2,4,1089,0,27,1116,1510,74%,28%
5289,3,3,150,278,8,60,31,144,606,FALSO,9,2,17,0,0,0,5,1,0,1,0,0,34,1,9,5,1361,4,21,1386,1948,71%,20%
5290,2,2,69,99,6,22,9,46,246,FALSO,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,512,0,10,522,1500,35%,19%
5291,5,5,289,456,14,90,45,226,989,FALSO,14,7,21,9,0,0,3,0,0,1,0,0,48,3,16,7,2238,2,57,2297,3240,71%,20%
5292,5,5,379,571,26,67,40,232,1025,FALSO,19,11,29,1,0,0,5,0,0,3,0,0,55,1,5,4,2473,2,59,2534,3580,71%,23%
5293,4,4,174,360,14,64,28,161,706,FALSO,11,1,16,0,0,0,5,0,0,0,0,0,52,1,13,3,1609,3,36,1648,2310,71%,22%
5294,3,3,163,345,8,63,28,140,582,FALSO,17,2,20,0,0,0,4,1,0,0,0,0,52,0,10,4,1439,4,33,1476,2008,74%,23%
5295,8,8,363,742,28,193,66,335,1572,FALSO,31,1,22,4,0,0,10,1,0,2,0,0,97,12,20,8,3507,4,102,3613,5631,64%,21%
5296,10,10,644,970,36,210,110,461,1813,FALSO,35,5,62,1,0,0,23,1,0,0,0,0,88,6,38,29,4532,3,78,4613,7242,64%,21%
5297,7,7,546,584,15,123,48,260,1139,FALSO,22,4,41,0,0,0,21,0,0,1,0,0,76,9,27,12,2928,3,75,3006,4773,63%,19%
5299,2,2,164,227,12,32,12,71,327,FALSO,3,0,12,0,0,0,5,2,1,0,0,0,28,0,5,2,903,2,19,924,1189,78%,25%
5300,3,3,138,244,8,66,28,138,591,FALSO,9,4,11,0,0,0,2,1,0,0,0,0,27,1,4,5,1277,2,38,1317,1846,71%,19%
5301,3,3,141,266,15,50,35,114,440,FALSO,13,6,8,0,1,0,5,0,0,0,1,0,28,1,5,1,1130,1,18,1149,1659,69%,23%
5302,2,2,281,432,10,23,15,64,276,#¡CALC!,7,4,15,0,0,0,5,0,0,0,0,0,15,1,0,4,1152,5,9,1166,1384,84%,37%
5303,12,12,750,1480,71,214,83,535,2274,FALSO,46,24,56,5,2,0,18,3,0,1,0,0,136,5,31,20,5754,5,143,5902,8723,68%,25%
5304,5,5,362,564,17,81,33,214,817,FALSO,12,5,30,0,0,0,18,1,0,1,0,0,46,0,6,4,2211,1,38,2250,3057,74%,25%
5305,6,6,807,868,28,65,36,228,861,#¡CALC!,26,4,59,0,0,0,20,1,0,1,1,0,52,1,9,5,3072,3,54,3129,3990,78%,28%
5306,4,4,280,549,8,57,19,144,582,FALSO,15,6,17,0,0,0,7,0,0,0,0,0,22,1,4,4,1715,0,32,1747,2438,72%,31%
5307,2,2,156,214,4,23,9,75,260,FALSO,7,1,18,0,0,0,5,0,0,0,0,0,15,1,2,1,791,1,10,802,1025,78%,27%
5308,3,3,179,228,6,16,6,47,197,#¡CALC!,3,1,13,0,0,0,2,1,0,0,0,0,12,1,2,0,714,5,7,726,936,78%,31%
5309,6,6,294,491,31,96,68,254,1209,FALSO,25,5,20,0,0,1,10,3,0,0,0,0,80,0,30,13,2630,9,39,2678,4147,65%,18%
5310,4,4,188,414,14,64,35,164,702,FALSO,14,3,21,2,0,0,3,0,0,0,1,0,38,11,13,2,1689,6,26,1721,2349,73%,24%
5311,4,4,157,438,13,60,37,160,721,FALSO,13,3,17,0,0,0,5,0,0,0,0,0,39,1,11,9,1684,1,28,1713,2317,74%,26%
5312,2,2,216,263,6,17,7,54,231,#¡CALC!,7,2,27,0,0,0,1,0,0,0,0,0,6,0,0,0,837,0,22,859,1077,80%,31%
5313,2,2,241,333,14,26,13,77,288,#¡CALC!,11,3,8,0,0,0,6,0,0,1,0,0,14,0,0,3,1038,6,18,1062,1468,72%,31%
5314,3,3,262,332,7,22,10,113,313,#¡CALC!,11,4,24,0,0,0,10,0,0,0,1,0,23,0,4,1,1137,3,26,1166,1574,74%,28%
5315,1,1,135,162,3,13,7,32,149,#¡CALC!,0,0,9,0,0,0,3,2,0,0,0,0,10,0,4,0,529,7,6,542,675,80%,30%
5316,4,4,235,422,15,62,25,192,466,FALSO,21,0,17,1,0,0,7,0,0,0,0,0,50,2,7,10,1532,2,39,1573,2428,65%,27%
5317,8,8,394,846,27,132,58,333,1394,FALSO,23,4,54,0,0,1,28,0,1,0,0,0,69,4,24,13,3405,4,100,3509,5481,64%,24%
5318,7,7,302,758,25,102,66,295,1217,FALSO,27,15,34,0,0,0,16,0,0,3,0,0,66,1,11,7,2945,6,83,3034,4538,67%,25%
5319,4,4,188,423,14,52,39,153,651,FALSO,14,4,33,0,0,0,13,0,1,0,0,0,55,3,16,8,1667,2,39,1708,2541,67%,25%
5320,4,4,278,528,31,51,26,145,614,FALSO,15,2,12,0,0,0,9,4,0,0,0,0,33,8,7,7,1770,0,37,1807,2490,73%,29%
5321,2,2,190,328,11,33,12,86,365,FALSO,6,1,15,0,1,0,6,1,0,0,0,0,17,0,5,8,1085,2,21,1108,1492,74%,30%
5322,3,3,140,367,22,30,24,125,427,FALSO,8,0,14,1,0,0,6,0,0,1,0,0,19,1,3,2,1190,1,42,1233,1724,72%,30%
5323,7,7,327,545,34,141,59,351,1428,FALSO,29,6,18,0,0,0,13,0,0,1,0,0,80,3,25,8,3068,0,83,3151,4648,68%,17%
5324,4,4,139,304,11,71,40,148,811,FALSO,11,8,12,2,0,0,8,1,0,0,0,0,41,4,15,9,1635,1,35,1671,2411,69%,18%
5325,3,3,168,289,13,49,35,146,652,FALSO,18,2,21,0,0,0,2,0,0,0,0,0,44,1,7,5,1452,0,31,1483,2052,72%,19%
5326,4,4,227,388,16,96,48,181,739,FALSO,13,2,19,1,0,0,13,0,0,0,0,0,60,2,11,8,1824,1,36,1861,2666,70%,21%
5327,3,3,105,253,9,41,18,118,591,FALSO,15,8,9,0,0,0,2,0,0,0,0,0,23,18,4,5,1219,0,22,1241,1728,72%,20%
5328,2,2,125,260,7,14,9,58,235,#¡CALC!,6,0,10,0,0,0,1,0,0,0,1,0,12,1,0,0,739,2,15,756,986,77%,34%
5329,4,4,241,469,21,63,20,159,672,FALSO,16,5,21,0,1,0,2,0,0,0,0,0,37,0,3,4,1734,3,47,1784,2643,67%,26%
5330,7,7,328,780,26,140,47,293,1178,FALSO,20,9,26,0,0,8,7,0,1,0,0,0,67,3,19,4,2956,5,76,3037,4815,63%,26%
5331,2,2,92,199,6,59,21,105,429,FALSO,11,0,12,0,2,0,2,0,0,0,0,0,20,0,1,5,964,1,16,981,1441,68%,20%
5332,2,2,91,223,6,47,18,72,417,FALSO,8,0,11,0,0,0,4,1,0,0,0,0,29,3,7,4,941,0,25,966,1407,69%,23%
5333,3,3,127,313,11,40,19,127,530,FALSO,10,1,27,0,0,0,6,0,0,0,0,0,25,3,6,3,1248,1,18,1267,1725,73%,25%
5334,5,5,285,568,24,115,35,230,821,FALSO,16,5,35,1,0,0,11,0,0,1,0,0,45,5,15,7,2219,4,54,2277,3279,69%,25%
5335,9,9,627,878,43,139,72,314,1314,FALSO,31,5,46,0,0,0,21,1,0,0,0,10,58,2,24,9,3594,11,64,3669,6290,58%,24%
5336,4,4,201,501,21,78,31,215,622,FALSO,14,1,27,0,0,0,7,1,0,1,1,0,50,2,15,10,1798,1,53,1852,2800,66%,27%
5337,5,5,107,381,17,97,42,208,708,FALSO,8,4,16,1,0,0,5,2,1,1,0,0,21,3,18,11,1651,0,51,1702,3610,47%,22%
5338,3,3,135,300,10,66,27,134,571,FALSO,11,1,12,0,0,0,9,1,0,1,0,0,26,2,3,3,1312,15,14,1341,2151,62%,22%
5339,4,4,153,400,12,59,24,139,731,FALSO,8,2,16,1,0,0,6,0,0,0,0,0,29,2,18,9,1609,2,34,1645,2591,63%,24%
5340,3,3,180,277,9,30,19,126,425,FALSO,5,1,13,0,0,0,2,2,0,1,0,0,10,0,4,3,1107,3,31,1141,1582,72%,24%
5341,3,3,264,367,8,47,42,111,473,FALSO,12,1,20,0,0,0,4,0,0,0,0,0,21,1,4,6,1381,4,26,1411,1997,71%,26%
5342,3,3,259,395,15,47,29,121,598,FALSO,10,0,23,0,0,0,4,0,0,0,0,0,30,1,8,4,1544,3,33,1580,2204,72%,25%
5343,4,4,210,455,12,102,33,197,778,FALSO,22,3,23,0,0,0,4,0,0,0,0,0,44,4,23,7,1917,0,49,1966,2946,67%,23%
5344,2,2,113,241,7,33,11,98,387,FALSO,10,1,12,0,0,0,6,1,0,0,0,0,14,1,6,6,947,0,23,970,1414,69%,25%
5345,7,7,720,809,37,98,47,296,1023,FALSO,21,6,43,1,1,0,19,0,0,0,0,0,53,1,16,6,3197,1,55,3253,4786,68%,25%
5347,4,4,211,448,29,77,31,175,740,FALSO,19,1,18,2,0,1,5,0,0,0,0,0,35,6,5,8,1811,5,45,1861,2544,73%,24%
5348,4,4,288,539,20,71,29,162,700,FALSO,27,9,24,0,0,0,10,1,0,1,0,0,41,2,13,6,1943,3,39,1985,2801,71%,27%
5349,10,10,558,1233,39,167,59,422,1590,FALSO,39,9,48,0,0,0,18,2,0,1,0,0,83,7,33,23,4331,4,97,4432,6905,64%,28%
5350,12,12,644,1417,61,217,97,534,2029,FALSO,54,11,74,2,2,0,23,1,0,1,0,1,128,24,30,17,5367,3,144,5514,8741,63%,26%
5351,6,6,356,677,20,105,40,273,956,FALSO,34,3,51,1,0,1,8,8,0,0,0,0,36,4,18,11,2602,4,71,2677,3909,68%,25%
5352,2,2,34,95,3,9,5,21,108,FALSO,4,1,2,1,0,0,2,0,0,0,0,0,9,0,2,1,297,0,5,302,799,38%,31%
5353,2,2,132,255,10,36,17,100,356,FALSO,11,6,12,0,0,0,3,1,0,0,0,0,18,0,4,7,968,1,24,993,1315,76%,26%
5354,7,7,328,701,29,124,41,374,1439,FALSO,38,7,34,0,0,0,17,0,0,0,0,0,74,2,22,14,3244,6,84,3334,4830,69%,21%
5355,7,7,127,567,22,92,53,240,914,FALSO,14,2,26,0,0,0,25,0,0,1,0,0,52,8,14,5,2162,2,83,2247,4725,48%,25%
5356,5,5,121,320,9,88,26,109,786,FALSO,5,0,11,0,0,0,6,0,0,0,0,0,49,4,12,3,1549,0,58,1607,3097,52%,20%
5357,3,3,95,149,4,51,23,62,510,FALSO,7,2,7,0,0,0,14,0,0,1,0,0,26,4,10,3,968,1,33,1002,1809,55%,15%
5358,4,4,129,280,17,65,34,57,482,FALSO,9,1,11,0,0,0,14,0,0,0,0,0,29,3,14,8,1153,1,51,1205,2301,52%,23%
5359,6,6,218,459,15,159,43,306,908,FALSO,36,4,20,0,0,0,19,0,0,0,0,0,38,5,20,9,2259,3,66,2328,4143,56%,20%
5360,4,4,66,296,17,99,32,150,909,FALSO,8,1,8,1,0,0,2,0,0,1,0,0,26,0,12,5,1633,1,35,1669,2611,64%,18%
5361,4,4,88,306,9,78,32,93,616,FALSO,6,5,8,1,3,0,5,1,0,0,0,0,36,4,21,3,1315,0,42,1357,2522,54%,23%
5362,10,10,262,664,38,232,74,319,2121,FALSO,42,5,35,0,0,0,19,1,0,0,1,0,135,10,36,13,4007,5,109,4121,7486,55%,16%
5363,7,7,904,623,31,125,53,306,1025,FALSO,25,6,59,0,1,0,16,1,0,0,0,0,54,2,18,12,3261,0,47,3308,4803,69%,19%
5364,6,6,90,365,11,164,67,185,1251,FALSO,17,0,14,0,0,0,2,0,0,1,0,0,80,5,23,13,2288,6,45,2339,3876,60%,16%
5365,4,4,57,198,7,95,29,140,563,FALSO,8,0,6,0,0,0,4,0,0,0,0,0,13,3,9,7,1139,1,26,1166,2682,43%,17%
5367,4,4,48,194,6,64,41,103,482,FALSO,5,0,5,0,0,0,2,0,0,1,0,0,32,3,3,15,1004,2,43,1049,2480,42%,18%
5368,5,5,37,324,12,100,32,115,919,FALSO,19,1,9,0,0,0,9,0,0,0,0,0,82,1,11,17,1688,0,75,1763,3500,50%,18%
5369,4,4,108,272,17,61,43,157,692,FALSO,10,1,13,0,0,0,16,0,1,0,0,0,50,4,13,8,1466,3,42,1511,2434,62%,18%
5370,5,5,91,373,11,94,48,153,774,FALSO,25,2,13,0,0,0,12,0,0,7,0,0,45,1,19,11,1679,3,46,1728,3246,53%,22%
5371,3,3,75,258,13,39,20,68,499,FALSO,10,3,8,0,0,0,1,0,0,0,0,0,24,2,4,3,1027,2,21,1050,1592,66%,25%
5372,7,7,213,600,21,132,57,299,1564,FALSO,37,0,17,0,0,0,6,0,0,0,0,0,81,1,14,19,3061,0,69,3130,5005,63%,19%
5373,5,5,198,456,18,112,44,216,1150,FALSO,16,0,19,0,0,0,23,1,0,0,1,0,40,5,5,9,2313,0,48,2361,3564,66%,19%
5374,5,5,124,336,15,80,45,136,893,FALSO,11,1,8,0,0,0,6,0,0,0,0,0,47,3,21,7,1733,3,57,1793,3027,59%,19%
5375,4,4,86,387,11,90,37,108,819,FALSO,15,1,11,0,0,0,9,0,0,0,0,0,42,2,12,6,1636,0,52,1688,2961,57%,23%
5376,7,7,179,539,30,129,81,262,1296,FALSO,27,3,19,1,0,1,17,1,0,1,1,0,73,7,16,14,2697,3,86,2786,4659,60%,19%
5377,3,3,79,198,9,51,28,106,542,FALSO,14,1,5,0,0,0,4,0,0,0,0,0,20,2,7,5,1071,0,41,1112,1933,58%,18%
5378,5,5,169,428,15,118,74,226,1082,FALSO,31,0,19,0,0,0,14,2,0,0,0,0,57,7,14,15,2271,2,61,2334,3723,63%,18%
5379,4,4,76,306,13,57,20,132,679,FALSO,8,2,20,1,1,0,2,0,0,0,0,0,45,0,4,3,1369,1,40,1410,2930,48%,22%
5380,3,3,108,260,17,76,33,144,753,FALSO,15,1,10,0,0,0,5,0,0,0,0,1,32,3,9,5,1472,5,35,1512,2223,68%,17%
5381,6,6,191,477,15,175,76,213,1183,FALSO,26,6,21,0,0,0,12,2,0,0,0,0,53,2,22,12,2486,2,83,2571,4408,58%,19%
5382,8,8,244,587,27,139,67,294,1590,FALSO,35,2,26,0,1,1,14,1,0,1,2,0,100,5,28,15,3179,2,96,3277,5443,60%,18%
5383,4,4,86,298,18,62,43,164,818,FALSO,22,0,10,0,0,0,8,0,0,0,0,0,41,10,17,13,1610,0,65,1675,2678,63%,18%
5384,6,6,154,461,19,124,78,191,1112,FALSO,26,1,16,0,0,0,10,0,0,1,0,1,48,3,12,30,2287,1,66,2354,3834,61%,20%
5385,2,2,14,140,4,38,17,68,366,FALSO,4,1,2,0,0,0,1,0,0,0,0,0,34,2,0,5,696,0,39,735,1428,51%,19%
5386,4,4,40,278,10,78,42,96,669,FALSO,14,1,8,0,0,0,7,0,0,0,1,0,37,2,16,10,1309,0,55,1364,2498,55%,20%
5387,3,3,36,225,13,45,34,83,562,FALSO,16,0,8,0,0,0,5,0,0,0,0,1,33,0,10,10,1081,3,38,1122,1927,58%,20%
5389,6,6,91,470,18,92,71,175,1104,FALSO,24,0,16,0,0,0,18,0,0,1,0,0,68,13,18,14,2193,0,77,2270,4345,52%,21%
5390,9,9,151,577,36,203,106,286,1755,FALSO,20,0,12,0,0,0,13,1,1,2,0,0,72,10,27,16,3288,5,115,3408,5336,64%,17%
5391,5,5,94,317,12,107,43,156,882,FALSO,18,0,16,0,0,0,3,3,0,0,0,1,67,29,6,8,1762,2,53,1817,3092,59%,17%
5392,5,5,89,408,11,106,43,156,1025,FALSO,10,1,11,0,0,0,7,2,0,0,0,0,61,2,14,10,1956,2,53,2011,3346,60%,20%
5393,5,5,95,317,21,111,101,147,1140,FALSO,13,0,11,0,2,0,2,0,0,0,1,0,68,5,20,9,2063,2,50,2115,3350,63%,15%
5394,6,6,804,638,37,123,45,229,918,FALSO,13,5,36,0,0,0,14,0,0,2,0,0,56,3,18,15,2956,3,45,3004,4359,69%,21%
5395,2,2,20,176,6,34,31,76,438,FALSO,13,0,2,0,0,0,4,0,0,0,0,0,20,0,18,6,844,0,30,874,1476,59%,20%
5396,4,4,98,284,16,93,26,123,669,FALSO,11,3,9,1,0,1,12,1,0,1,0,8,25,3,8,6,1398,0,45,1443,2283,63%,20%
5397,6,6,84,487,20,111,77,215,1181,FALSO,30,1,13,0,0,0,13,0,0,1,0,0,69,16,21,21,2360,8,81,2449,4495,54%,20%
5398,5,5,182,476,18,99,74,207,1235,FALSO,16,7,9,0,0,0,9,0,0,0,0,1,33,6,8,9,2389,11,39,2439,3463,70%,20%
5399,5,5,173,445,21,130,68,225,1442,FALSO,19,2,11,0,0,1,5,0,0,2,0,0,59,2,26,7,2638,2,55,2695,3654,74%,17%
5400,3,3,110,282,13,64,26,115,871,FALSO,16,0,14,0,0,0,5,1,0,0,0,0,41,3,7,6,1574,2,31,1607,2236,72%,18%
