SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NAEM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA_NAEM,PT_MORENA,PT_NAEM,MORENA_NAEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,% PRI
5294,3,121,355,9,58,20,33,463,17,17,25,22,16,6,0,0,1,3,0,0,1166,4,19,1189,1951,30%
5295,7,230,597,18,56,40,46,953,77,80,31,16,19,5,0,4,2,3,0,3,2180,0,51,2231,5242,27%
5296,10,513,946,36,103,61,94,1262,53,46,76,27,30,10,0,0,11,10,0,2,3280,0,81,3361,6881,28%
5297,6,404,582,22,58,41,59,779,33,30,26,15,7,3,1,0,8,6,0,1,2075,3,46,2124,4452,27%
5298,9,293,799,32,96,60,68,1053,69,51,81,28,38,11,0,0,5,10,2,2,2698,0,74,2772,5729,29%
5299,2,121,218,6,25,11,17,290,15,11,23,11,8,1,0,0,1,5,1,1,765,1,16,782,1178,28%
5300,3,117,238,11,40,21,28,430,14,19,24,12,7,1,0,0,1,4,0,2,969,3,29,1001,1753,24%
5301,3,123,238,11,21,27,30,338,16,10,15,8,6,1,0,1,0,2,0,0,847,1,18,866,1526,27%
5302,2,180,384,11,30,27,22,356,8,11,15,22,13,1,0,0,1,2,0,2,1085,2,16,1103,1438,35%
5303,11,556,1190,39,213,67,117,1452,82,52,72,59,45,10,5,3,10,6,1,2,3981,1,92,4074,7941,29%
5304,4,274,572,28,62,45,43,692,30,18,30,15,15,5,0,0,1,0,2,1,1833,1,35,1869,2918,31%
5305,6,615,739,19,82,43,44,822,25,22,28,32,32,8,1,2,4,3,0,0,2521,2,34,2557,3933,29%
5306,4,220,466,14,50,30,44,483,20,16,24,22,20,4,1,1,4,3,0,1,1423,2,27,1452,2372,32%
5307,2,112,203,6,18,5,24,231,18,8,7,10,5,1,0,0,0,0,0,0,648,0,19,667,1054,30%
5308,4,142,313,6,35,14,18,398,14,13,12,10,8,4,0,0,4,1,0,1,993,2,11,1006,1005,31%
5309,6,259,532,30,67,41,56,916,59,61,48,25,23,4,0,0,8,7,1,3,2140,0,46,2186,3911,24%
5310,4,161,418,16,34,35,30,525,25,24,31,10,14,6,0,0,5,1,1,0,1336,1,30,1367,2260,31%
5311,3,92,304,6,27,14,22,347,20,21,28,5,7,2,0,1,1,4,0,0,901,2,18,921,2229,33%
5312,2,165,203,7,23,21,22,229,11,7,6,14,8,0,2,0,2,0,0,0,720,4,17,741,1087,27%
5313,2,216,298,12,24,23,30,267,15,5,12,10,7,3,1,0,0,0,0,0,923,0,14,937,1478,32%
5314,3,204,315,11,46,19,26,264,19,5,13,20,7,1,2,0,0,4,1,1,958,1,20,979,1563,32%
5315,1,108,133,3,14,12,8,155,11,6,5,12,4,1,0,1,2,1,0,0,476,3,11,490,681,27%
5316,4,193,460,20,63,26,38,434,18,12,24,20,17,4,1,0,1,1,0,2,1334,4,47,1385,2392,33%
5317,7,289,907,40,95,53,67,869,55,39,42,24,31,7,0,4,2,10,3,1,2538,1,74,2613,5122,35%
5318,6,227,818,21,60,36,65,786,37,34,36,31,33,4,0,0,3,2,0,0,2193,1,50,2244,4334,36%
5319,4,130,436,10,50,26,46,448,23,23,30,15,10,4,0,1,1,1,0,1,1255,4,35,1294,2399,34%
5320,4,177,492,16,52,18,39,480,21,19,25,15,17,3,0,1,3,7,0,0,1385,2,37,1424,2398,35%
5321,2,158,331,10,30,9,22,303,10,14,7,7,10,0,0,0,1,1,0,0,913,3,18,934,1483,35%
5322,3,126,346,23,42,29,35,306,47,16,11,10,11,1,0,0,1,5,0,0,1009,0,34,1043,1682,33%
5323,6,258,578,34,79,43,68,983,51,37,52,20,7,2,1,1,4,4,1,1,2224,1,68,2293,4383,25%
5324,4,105,389,9,43,31,26,531,47,16,26,13,6,0,0,0,6,5,0,4,1257,2,29,1288,2310,30%
5325,3,135,318,7,33,14,25,474,45,12,25,11,6,1,0,0,1,2,0,0,1109,0,24,1133,1956,28%
5326,4,205,439,15,54,29,40,557,33,29,29,14,19,7,0,0,5,3,0,0,1478,0,39,1517,2584,29%
5327,3,88,271,10,29,21,31,396,23,19,24,10,7,2,0,0,3,1,0,2,937,0,31,968,1647,28%
5328,2,117,226,9,22,10,12,233,14,8,11,7,4,0,0,0,0,1,0,0,674,0,9,683,1007,33%
5329,4,159,439,17,67,42,45,542,39,26,34,22,19,4,1,0,2,0,0,1,1459,1,28,1488,2557,30%
5330,7,212,669,24,105,37,66,762,56,30,45,33,18,2,0,0,1,7,0,2,2069,2,45,2116,4572,32%
5331,2,86,253,12,40,19,24,289,48,13,13,7,6,0,0,0,2,1,0,0,813,0,16,829,1389,31%
5332,2,84,237,8,39,10,16,297,15,8,12,9,5,3,0,2,2,2,0,2,751,0,26,777,1368,31%
5333,3,99,289,7,47,21,22,401,33,14,20,12,9,1,3,0,1,3,0,2,984,1,19,1004,1692,29%
5334,5,239,483,22,79,43,47,582,45,33,43,25,14,10,0,1,6,6,1,0,1679,1,26,1706,3034,28%
5335,8,464,844,44,123,69,81,1044,62,38,73,32,19,7,1,2,9,5,2,0,2919,4,65,2988,5804,28%
5336,4,142,511,38,80,39,36,507,24,18,25,18,14,3,1,1,2,3,0,1,1463,7,35,1505,2732,34%
5337,5,152,515,34,63,24,39,570,40,17,30,21,13,6,0,2,3,4,0,5,1538,2,46,1586,3446,32%
5338,3,84,327,12,48,12,27,360,22,15,33,16,3,1,0,0,5,1,0,2,968,1,24,993,2070,33%
5339,4,121,369,13,86,24,25,497,32,17,29,21,9,4,0,0,3,3,0,0,1253,0,38,1291,2501,29%
5340,3,161,233,11,32,11,19,369,19,21,17,7,10,3,0,0,5,0,0,2,920,1,38,959,1576,24%
5341,3,193,324,16,42,27,49,404,25,27,29,18,15,2,1,0,1,2,0,1,1176,1,29,1206,1978,27%
5342,3,186,374,19,47,30,33,396,26,20,19,11,9,4,0,0,3,4,0,0,1181,2,34,1217,2176,31%
5343,4,168,457,15,63,34,66,602,32,26,34,18,13,3,0,0,3,2,0,0,1536,2,33,1571,2902,29%
5344,2,98,212,15,27,16,21,241,12,17,20,13,10,4,0,0,3,1,0,3,713,0,20,733,1406,29%
5345,6,464,701,26,72,61,60,714,46,36,45,28,23,8,1,1,4,4,0,0,2294,5,48,2347,4386,30%
5346,5,569,610,20,53,42,49,558,11,16,30,31,22,6,0,1,2,0,0,0,2020,2,28,2050,3054,30%
5347,4,170,346,24,45,29,28,569,38,136,22,16,13,5,0,0,0,1,0,2,1444,2,25,1471,2450,24%
5348,4,196,476,20,44,35,32,603,32,102,27,18,25,4,1,2,6,1,0,0,1624,1,33,1658,2806,29%
5349,9,393,989,45,132,76,54,1139,82,62,63,47,27,9,1,2,3,8,0,0,3132,3,88,3223,6517,31%
5350,11,419,1127,64,91,82,75,1336,88,181,75,44,36,6,1,0,5,6,0,0,3636,6,102,3744,7642,30%
5351,5,252,525,24,66,47,41,656,35,220,28,22,24,8,0,0,4,7,0,1,1960,4,54,2018,3609,26%
5352,2,32,161,3,20,10,16,170,25,10,9,8,8,1,0,0,1,2,0,0,476,0,13,489,770,33%
5353,2,82,240,6,22,7,21,248,57,15,19,15,18,3,0,2,3,0,0,2,760,1,29,790,1238,30%
5354,6,276,668,30,94,51,69,930,107,35,57,19,10,3,0,0,6,4,0,0,2359,7,57,2423,4466,28%
5355,6,161,875,18,42,27,44,466,29,70,30,8,24,3,1,0,2,0,0,1,1801,0,50,1851,4362,47%
5356,4,118,605,27,36,19,22,556,28,32,27,10,14,10,0,1,0,6,0,1,1512,0,44,1556,2900,39%
5357,3,189,172,8,16,4,9,245,15,10,5,6,6,4,2,0,1,0,0,1,693,0,16,709,1686,24%
5358,3,162,321,15,23,13,12,353,26,59,14,7,13,13,0,1,4,1,0,2,1039,0,34,1073,2084,30%
5359,6,244,608,17,40,20,33,739,46,36,58,20,20,7,0,1,0,3,1,1,1894,1,55,1950,3792,31%
5360,4,87,362,14,42,24,26,465,30,33,39,14,4,3,1,0,0,1,0,0,1145,1,31,1177,2365,31%
5361,4,87,312,17,54,23,11,355,53,18,21,11,1,3,0,0,0,1,0,0,967,0,25,992,2316,31%
5362,9,251,617,33,103,44,55,1176,170,30,50,31,24,12,0,1,5,8,3,4,2617,1,76,2694,6629,23%
5363,6,546,541,17,47,22,42,652,21,14,21,23,24,5,0,0,3,5,0,4,1987,2,45,2034,3839,27%
5364,5,72,466,15,39,26,30,581,44,12,19,11,1,1,0,0,0,2,0,0,1319,1,40,1360,3437,34%
5365,4,60,460,21,27,43,22,541,25,15,20,14,8,7,0,6,1,1,0,2,1273,0,26,1299,2431,35%
5367,3,54,321,16,30,30,18,362,38,12,30,21,9,0,0,0,3,0,0,2,946,0,17,963,2196,33%
5368,5,98,552,26,36,26,24,353,45,11,25,10,11,8,0,1,1,1,0,1,1229,1,44,1274,3187,43%
5369,3,58,207,7,17,20,10,331,50,8,10,8,7,2,0,0,5,0,0,0,740,2,31,773,2211,27%
5370,4,95,450,36,45,19,18,432,63,15,17,14,12,7,0,0,1,1,0,2,1227,0,43,1270,2954,35%
5371,2,48,254,6,28,6,20,291,37,11,20,7,6,1,0,0,1,3,0,0,739,0,20,759,1374,33%
5372,6,151,654,35,71,26,48,849,49,84,44,25,11,3,1,0,2,3,1,0,2057,2,46,2105,4330,31%
5373,5,169,474,19,64,23,52,680,100,33,42,11,6,5,0,0,3,4,0,0,1685,3,14,1702,3152,28%
5374,4,93,341,12,98,30,22,541,56,33,21,18,5,3,0,1,1,1,0,2,1278,1,33,1312,2736,26%
5375,4,80,389,12,70,22,18,500,57,26,12,12,9,8,0,0,2,2,0,3,1222,0,37,1259,2606,31%
5376,6,113,586,24,76,59,32,837,144,31,48,16,16,7,0,0,2,2,1,2,1996,2,75,2073,4264,28%
5377,3,92,213,3,35,15,21,315,82,11,14,14,3,2,0,0,2,0,0,0,822,0,12,834,1761,26%
5378,5,138,393,8,56,66,53,683,171,22,27,24,13,7,0,1,2,7,1,0,1672,2,38,1712,3432,23%
5379,4,92,412,8,31,32,23,668,52,23,45,15,7,1,1,0,2,2,0,4,1418,1,30,1449,2750,28%
5380,3,59,260,9,54,22,18,522,91,24,25,12,8,8,0,0,0,4,0,3,1119,2,32,1153,2094,23%
5381,6,93,500,10,62,32,25,619,141,36,31,18,7,5,0,0,3,13,0,0,1595,1,33,1629,4004,31%
5382,7,171,527,22,141,53,36,981,134,55,62,28,9,9,1,1,4,5,2,4,2245,0,69,2314,4855,23%
5383,4,68,256,14,71,31,25,497,89,24,39,12,4,6,0,0,1,5,0,0,1142,1,36,1179,2399,22%
5384,5,141,505,26,96,35,37,641,186,25,22,10,14,10,0,0,0,5,0,2,1755,0,55,1810,3544,28%
5385,2,29,199,6,15,7,9,167,23,6,10,2,8,2,0,0,1,1,0,0,485,1,16,502,1338,40%
5386,4,39,348,12,28,14,13,374,62,12,13,9,6,3,0,0,2,4,0,0,939,9,43,991,2365,35%
