SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NAEM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA_NAEM,PT_MORENA,PT_NAEM,MORENA_NAEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,% PRI
5437,6,203,674,37,57,57,55,715,55,66,20,18,18,7,9,0,3,1,0,1,1996,0,66,2062,4129,33%
5438,6,200,555,33,73,46,55,683,52,33,34,19,41,0,0,0,1,2,0,1,1828,0,61,1889,3890,29%
5439,6,187,565,25,69,49,33,710,56,32,49,21,14,7,1,0,3,5,0,2,1828,1,47,1876,3894,30%
5440,11,326,1333,36,163,85,85,1203,90,54,67,44,31,8,1,0,12,10,1,1,3550,3,108,3661,8236,36%
5441,3,29,406,10,27,20,18,334,17,13,8,10,4,4,0,0,1,2,1,1,905,1,36,942,2003,43%
5442,4,41,452,25,41,23,8,352,37,16,5,9,6,4,0,2,4,0,1,0,1026,1,47,1074,2396,42%
6433,1,13,72,3,7,4,8,70,13,1,4,0,1,0,0,0,1,0,0,0,197,0,7,204,484,35%
6434,2,118,129,4,16,9,18,167,5,6,14,5,5,1,0,0,1,5,0,0,503,0,5,508,828,25%
6435,2,116,143,6,15,4,25,168,8,8,7,7,3,2,0,1,1,1,0,0,515,1,7,523,842,27%
6436,1,24,109,1,8,4,8,122,25,7,8,6,0,0,0,1,1,1,0,0,325,0,16,341,738,32%
6437,2,96,136,2,28,9,10,157,5,4,7,6,6,1,0,0,2,0,0,2,471,0,14,485,808,28%
6438,1,11,140,7,8,8,9,147,10,4,2,3,1,0,0,0,3,2,0,1,356,0,10,366,677,38%
6439,3,305,262,12,16,10,21,289,12,6,16,5,11,1,0,0,4,3,0,0,973,1,24,998,1743,26%
6440,1,6,97,3,14,7,3,108,6,2,4,1,4,0,0,1,0,0,0,0,256,0,11,267,491,36%
6441,2,118,146,6,33,5,26,181,7,4,13,11,8,0,0,0,0,1,1,0,560,0,16,576,898,25%
6442,3,314,260,6,14,11,19,232,8,5,13,6,9,0,0,0,0,1,0,1,899,2,8,909,1585,29%
6443,1,16,150,2,9,0,4,77,12,5,2,5,1,0,0,0,1,0,0,0,284,0,11,295,579,51%
6444,1,99,87,5,11,8,9,131,4,0,2,2,1,0,0,0,3,0,0,0,362,0,8,370,640,24%
6445,1,72,113,3,19,5,23,123,2,6,5,1,6,1,0,0,1,0,0,0,380,0,8,388,654,29%
6446,1,68,132,3,19,4,20,117,3,2,8,3,1,2,0,0,0,0,0,0,382,0,17,399,647,33%
6447,1,17,83,1,4,2,7,81,11,4,10,2,3,0,0,0,2,0,0,0,227,1,6,234,504,35%
6448,2,186,188,3,13,8,16,146,4,2,6,7,2,1,0,0,2,2,0,0,586,1,1,588,892,32%
6449,1,116,108,5,8,5,7,107,3,12,3,2,7,1,1,0,0,0,0,0,385,0,1,386,556,28%
6450,2,109,170,7,20,6,23,192,7,8,10,1,1,1,0,0,0,1,0,1,557,2,16,575,905,30%
6451,1,99,99,7,10,4,11,106,0,1,4,1,5,1,0,0,0,1,0,1,350,0,3,353,500,28%
6452,1,101,127,4,15,6,4,100,1,5,3,6,0,1,0,0,2,0,0,0,375,2,8,385,624,33%
